title,location,summary,salary
newSoftware Development Engineer,"Hyderabad, Telangana","Potential Restricted Stock Units (RSU's).
5% 401k Matching dollar for dollar.
Discounted Employee Stock Purchase Program.
Generous Paid Time Off (PTO).",NA
newBusiness Intelligence Engineer / Data Engineer,"Mumbai, Maharashtra","We provide artificial intelligence-based products/platforms capable of automated cognitive decision making to improve productivity, quality, and economics of…",NA
QA Product Testing Engineers,Maharashtra,"With a purposeful approach towards digitizing rural India through banks & NBFCs, our solutions are already test marketing various products to revolutionize…",NA
Application Developer: Portals,"Delhi, Delhi+1 location","You will focus on a portfolio of services, toolkits, method, technologies and templates used for portal solutions.
Proficient in Servlet, JSP, JDBC.",NA
Project Manager,"Mumbai, Maharashtra+2 locations","We engineer business outcomes for Fortune 500 companies and digital natives in the technology, healthcare, insurance, travel, telecom, and retail & CPG…",NA
Data Science- Internship (Remote),Remote,"Through its industry-focused programs, INSAID aims to arm working professionals not only with skill sets like machine learning, data science but provide them a…","₹15,000 a month"
newAssociate Manager-Insights & Intelligence,"Bengaluru, Karnataka+2 locations","Years of Experience: 10-14 years.
You will be required to utilize the existing frameworks, standards, patterns to create architectural foundation and services…",NA
"Software Engineer, Machine Learning",Remote,"We are seeking a passionate Machine Learning (ML) Engineer, with strong backgrounds in developing and deploying state-of-the-art models in the computer vision…",NA
Software Developer,"Gurgaon, Haryana","Planted and tracked the health of 2 million+ trees spanning Ladakh to Kanyakumari.
Follow best practices in software development.",NA
Data Scientist,"Remote in Noida, Uttar Pradesh",Manage and analyze raw data in order to build algorithms to provide data-driven business insights and high-impact ML models to generate significant business…,NA
System Center Admin (Wintel),"Noida, Uttar Pradesh","Your clients' success depends on your ability to understand their needs and respond to requests for new services.
Configure the boundary and boundary groups.",NA
Business Intelligence Analyst Specialist,"Mumbai, Maharashtra",We are seeking an experienced Business Intelligence Developer with 3-4 years’ experience to work with key business stakeholders to identify and deliver BI…,NA
"Software Engineer, Next Innings","Bengaluru, Karnataka","We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking…",NA
newAI Software Engineer,"Bengaluru, Karnataka","In this role, you will work with algorithm experts to come up with state of the art algorithms in the area of Artificial Intelligence, Computer Vision, natural…",NA
Senior Software Engineer/Technical Lead,"Hyderabad, Telangana","Hands-on work items to do the proof of concepts (PoC) and new development using technologies related to artificial intelligence, machine learning and/or deep…",NA
AI/ML DEVELOPER,"Gurgaon, Haryana","Creating Scalable Machine Learning systems that are highly performant.
Identifying patterns in data streams and generating actionable insights.",NA
Commvault Backup Sr.,"Noida, Uttar Pradesh","Provide L3 support for team deliverables.
Configuration, allocation, and management of centralized storage systems and other deployed storage solutions.",NA
newMDM Architect,"Mumbai, Maharashtra","As a savvy liaison for our teams, you will create solutions and provide actionable insights that shape the future of our business.",NA
Data Analytics - Officer,"Hyderabad, Telangana",The GTS Office of the Chief Operating Office (COO) is seeking a Data Analyst to work with a global team to provide data analytics dashboards.,NA
Staff Engineer – Artificial Intelligence & Machine Learning...,India,"Reports to: Senior System Architect.
You will be responsible for developing backend processes and cross-platform applications for the FTC Control System.",NA
newAI Applications Support Engineer,"Bengaluru, Karnataka+1 location","Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run…",NA
Security Operations Analyst – Cybersecurity SaaS Platform,"Remote in Noida, Uttar Pradesh","Support sales and customer success teams with threat intelligence for customers and prospects.
We leverage the power of AI to apply deep learning, computer…",NA
Application Developer: Java & Web Technologies,"Bengaluru, Karnataka+7 locations","You are responsible for designing and developing Java components using Spring framework to implement transaction management.
Should know OOP concepts well.",NA
newAutomation Cypress Testing Professional,"Hyderabad, Telangana","3 - 5 years of Automation Software Testing experience in Cypress Automation Testing tool.
Should be able to develop frameworks using Cypress testing tool.",NA
Technical Support Professional - IMS,"Bengaluru, Karnataka","To think along with clients and sell.
As a Technical Support Professional, you resolve issues impacting IBM client business and play a key role in enhancing the…",NA
newQRadar SIEM Engineer,"Pune, Maharashtra","Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run…",NA
